Origin_Country,2015_TB,2016_TB,2017_TB,2018_TB,2019_TB,2020_TB,2021_TB,2022_TB,2015_Pop,2016_Pop,2017_Pop,2018_Pop,2019_Pop,2020_Pop,2021_Pop,2022_Pop
Burundi,7.387462587,7.363419947,7.805800308,7.885985502,8.518542558,7.529250996,7.909846492,7.644267897,1110,935,1100,1465,1870,1040,1575,1990
Stateless,1.273503767,0.966599613,1.067464771,0.915582448,0.957729491,0.741378555,0.92439324,0.644677558,1130,940,1070,1025,1155,635,1240,1065
Croatia,2.01191756,2.03410705,1.865423924,1.619794928,1.398728335,0.87280436,0.661656017,0.442567246,1205,1345,1280,1150,1035,485,490,435
Switzerland,1.769687016,1.713977744,1.805407258,1.620855018,1.421324588,1.157967658,1.44597855,1.083236284,1240,1250,1385,1390,1290,745,1515,1285
Hungary,1.917369775,1.561720454,1.684289086,1.519413757,1.523173464,1.262458003,1.043156082,0.816206024,1255,1065,1240,1230,1350,845,1065,800
Malaysia,5.941303355,6.59089921,7.077820648,6.862852826,7.255654491,6.793519963,7.581043621,8.331174467,1255,1450,1550,1580,1525,1040,1405,1370
Mauritius,2.169696787,2.064955973,2.372191213,2.119132174,2.303037966,2.072547484,2.14641992,2.237346737,1345,1375,1670,1510,1835,1145,1795,2380
Ghana,9.603119548,10.28883854,10.95476787,10.7171176,11.71990357,10.72593762,11.4491952,11.6474517,1380,1775,2015,2180,2825,1835,3070,4655
Indonesia,17.95319731,19.19215847,20.59244529,20.59166722,22.17512567,20.26425094,24.85805787,27.21202553,1425,1675,1825,2090,2240,1550,2715,2730
Chile,2.466687997,2.636734252,2.940767996,3.031753523,3.220307095,2.831470602,4.048446378,3.758763424,1430,1720,1945,2200,2470,1690,3985,4345
Czech Republic,1.927087297,2.18560627,2.22822928,2.118598767,1.751833541,1.330748726,1.369728454,1.198933783,1460,1830,1915,2060,1720,935,1485,1520
Jordan,2.005371855,1.876549224,1.800925187,1.908596401,2.16168135,2.004130024,2.347875377,2.40725381,1525,1540,1410,1805,2175,1475,2770,3560
Ethiopia,11.44372685,11.91661202,11.90533544,11.1405285,11.53819439,9.578669762,9.953748288,10.34435054,1585,2250,2260,2455,2920,1430,2600,3270
Senegal,7.989989054,8.269394901,8.617784429,8.595547647,9.335591846,8.889608056,9.87016093,9.699420794,1600,1605,1560,1795,2070,1575,3030,3740
Romania,5.955897956,5.834876122,5.658512034,5.315663059,5.961744741,3.447799608,3.825007608,4.093839301,1625,1770,1425,1440,2085,695,1065,1060
Thailand,10.03013071,10.39788296,10.9407429,10.62483139,11.1819214,10.15978291,11.31392292,12.14551659,1625,1670,1765,1745,1705,1035,1985,3065
Belgium,2.343017983,2.660831907,2.811886274,2.541567959,2.615269149,2.270083017,2.554657496,2.200648552,1655,2060,2270,2235,2455,1540,2695,2780
Portugal,3.050231637,2.92573073,3.012553796,2.990673812,3.227383752,2.66221112,2.687948263,2.548299519,1680,1790,1840,1955,2400,1440,2160,2455
South Africa,51.69599493,45.75156143,45.91719442,42.63948149,42.63644742,37.10701911,37.14104336,33.38206015,1775,2020,2495,2825,3120,2270,3470,3820
Nepal,15.61019707,15.41195535,16.60886787,16.57656802,17.75834489,15.78852214,17.85053407,21.18963059,1890,1270,1725,2305,2725,1655,3525,9890
Netherlands,2.473074566,2.613201429,2.650429469,2.314937342,2.081148678,1.611541726,1.62705057,1.488907169,1940,2230,2350,2240,2125,1165,1785,2010
Libya,4.282860675,3.913120746,4.029846337,3.526984602,5.090081778,5.018374587,5.040107749,4.591850177,2015,1695,1680,1295,1505,1200,1430,1115
Ivory Coast,10.40933619,11.03612005,11.07354406,10.83500707,11.79060141,11.04104271,11.41726309,11.65548677,2140,2660,2370,2710,3460,2525,3750,5765
"Congo, Democratic Republic of the",18.78195384,20.76315114,21.88134046,22.0670368,24.02696347,21.85237048,24.39404207,24.88287037,2205,3150,2940,3410,3845,1965,3990,6340
New Zealand,2.891651583,3.290710922,3.332678532,3.298442887,3.089151804,1.877494719,1.57251906,1.63261924,2240,2815,2910,3215,3160,1230,1495,2050
Sri Lanka,5.855898374,5.835032193,6.634311067,6.525707518,7.260662845,7.003230938,8.049169659,9.013198899,2295,2245,2875,3060,3730,2690,5105,8090
Eritrea,7.722602627,5.859422684,10.73406422,10.49480223,11.51261222,8.063029448,9.024924339,9.244864117,2300,0,4920,5845,7130,2705,5420,7705
Poland,3.750630545,3.732407642,3.733884344,3.516186845,3.55978044,1.90146384,1.806698995,1.783348457,2480,2680,2740,2875,3115,1135,1520,1630
Lebanon,3.68591995,3.340044825,2.821124995,2.860530644,3.377355775,3.39478571,3.426544364,4.552936143,2735,2615,2120,2340,2895,2225,3720,6315
Afghanistan,12.59450797,13.10237366,14.6684089,14.45521051,15.63709424,13.27474275,18.92437616,26.79766246,2740,2770,3555,3645,4015,1760,8670,23980
Turkey,4.128589279,4.786412539,5.793991589,6.35672556,6.979027536,6.774803092,8.315782084,5.309005415,2860,3705,4805,6055,7160,5015,9890,7235
Tunisia,5.269812012,5.501303728,5.507424506,5.763073622,6.346471217,7.204201316,7.490384332,8.191876429,2980,3345,3515,4130,4905,4280,6795,9475
