Ticker,Name,Sector,Beta,Market Cap,Current Price,Price Target
SCHW,SCHWAB (CHARLES),Financials,1.35,69120369,51.16,60.33
EOG,EOG RESOURCES,Enersy,0.86,68241437,117.82,140.69
BIIB,BIOGEN INC,Health Care,1.1,68224664,338.68,390
FDX,FEDEX CORP,lndustrials,1.12,67547304,255.44,283.18
TJX,TJX COS INC,Consumer Discretionary,0.55,67520795,108.77,112.68
VMW,VMWARE INC-CL A,Information Technology,1.21,66480574,162.65,165.2
AET,AETNA INC,Health Care,0.44,66380349,202.75,202.2
PNC,PNC FINANCIAL SE,Financials,1,65188049,140.4,158.33
AMT,AMERICAN TOWER C,Real Estate,0.46,64886514,147.19,160.68
ISRG,INTUITIVE SURGIC,Health Care,1.32,64649581,568.36,556.59
ADP,AUTOMATIC DATA,Information Technology,0.96,64599683,147.46,145.73
MOLZ,MONDELEZ INTER-A,Consumer Staples,0.74,64235373,43.8,49.2
AGN,ALLERGAN PLC,Health Care,1.01,63890227,188.22,211.68
